pm10,pm2.5,so2,co,o3,no2,category
41,21,24,17,39,0,Baik
24,19,20,16,40,0,Baik
18,37,13,15,13,5,Baik
18,37,13,15,13,5,Baik
18,37,13,15,13,5,Baik
19,0,14,16,33,0,Baik
24,0,22,19,26,1,Baik
22,0,13,15,27,1,Baik
18,0,9,19,8,2,Baik
17,0,7,20,6,1,Baik
17,0,1,15,10,1,Baik
17,0,3,16,5,1,Baik
17,0,4,19,2,2,Baik
17,0,7,19,1,2,Baik
17,0,9,22,1,2,Baik
11,0,13,20,5,8,Baik
11,0,13,20,9,10,Baik
13,0,22,24,4,10,Baik
13,0,18,22,3,12,Baik
23,0,18,24,3,11,Baik
43,0,16,22,1,10,Baik
21,0,9,19,3,11,Baik
12,0,9,18,5,11,Baik
13,0,19,25,3,11,Baik
14,0,10,18,3,11,Baik
23,0,9,17,2,11,Baik
16,0,12,19,1,11,Baik
25,0,9,20,1,10,Baik
10,0,10,20,2,11,Baik
13,0,9,20,2,10,Baik
16,0,8,18,1,11,Baik
10,0,8,16,1,11,Baik
11,0,9,17,1,11,Baik
19,0,9,19,1,10,Baik
18,37,13,15,13,5,Baik
0,0,0,14,0,6,Baik
0,0,9,8,0,6,Baik
0,0,29,8,0,8,Baik
0,0,19,15,0,10,Baik
0,0,17,18,0,12,Baik
0,0,13,17,0,12,Baik
0,0,13,20,0,11,Baik
6,0,15,22,0,12,Baik
24,0,19,24,0,13,Baik
28,0,10,20,0,12,Baik
33,0,15,23,0,14,Baik
33,0,15,22,1,14,Baik
25,0,15,22,3,14,Baik
29,0,8,19,6,13,Baik
25,2,10,19,8,14,Baik
11,13,13,21,6,13,Baik
8,14,7,18,5,10,Baik
9,15,4,16,3,11,Baik
8,13,5,15,5,10,Baik
10,19,4,15,8,10,Baik
14,28,5,18,8,10,Baik
16,31,9,22,3,11,Baik
14,27,8,20,3,11,Baik
18,37,6,19,2,11,Baik
24,50,5,19,3,13,Sedang
17,34,7,18,2,12,Baik
28,54,6,20,2,11,Sedang
18,37,13,15,13,5,Baik
18,37,13,15,13,5,Baik
18,37,13,15,13,5,Baik
18,37,13,15,13,5,Baik
18,37,13,15,13,5,Baik
18,37,13,15,13,5,Baik
18,37,13,15,13,5,Baik
18,37,13,15,13,5,Baik
18,37,13,15,13,5,Baik
18,37,13,15,13,5,Baik
18,37,13,15,13,5,Baik
18,37,13,15,13,5,Baik
18,37,13,15,13,5,Baik
5,11,0,38,13,27,Baik
5,11,1,38,13,26,Baik
10,23,14,22,24,7,Baik
9,34,22,22,21,3,Baik
10,46,18,21,22,2,Baik
12,54,23,24,20,4,Sedang
9,45,23,22,19,4,Baik
10,48,18,21,21,2,Baik
11,51,24,24,15,2,Sedang
7,31,12,17,21,2,Baik
6,24,11,16,24,2,Baik
5,18,12,17,25,2,Baik
7,26,15,19,23,2,Baik
10,39,17,20,19,2,Baik
7,29,15,17,18,2,Baik
5,19,9,14,22,2,Baik
4,13,10,16,23,2,Baik
5,19,16,19,20,2,Baik
7,29,16,21,16,2,Baik
5,17,13,17,17,2,Baik
3,11,15,17,17,2,Baik
5,21,24,22,11,2,Baik
5,21,19,20,13,2,Baik
4,13,17,19,16,2,Baik
5,19,20,22,15,2,Baik
8,35,23,25,12,2,Baik
10,43,24,24,11,2,Baik
12,49,21,22,10,3,Baik
6,23,18,19,12,2,Baik
6,23,25,24,11,2,Baik
18,37,13,15,13,5,Baik
18,37,13,15,13,5,Baik
8,36,23,24,10,3,Baik
5,20,13,17,13,2,Baik
4,17,14,16,14,2,Baik
8,36,28,26,8,3,Baik
8,38,19,22,8,3,Baik
9,43,18,21,9,2,Baik
9,44,28,27,6,3,Baik
13,56,30,29,6,4,Sedang
9,39,18,21,9,3,Baik
13,54,21,23,7,3,Sedang
11,48,20,24,7,3,Baik
14,65,24,25,5,3,Sedang
9,54,22,24,7,2,Sedang
8,47,15,20,10,3,Baik
7,46,22,25,8,3,Baik
9,54,28,27,5,2,Sedang
6,36,20,22,8,2,Baik
4,24,15,19,11,2,Baik
4,20,16,19,11,2,Baik
6,33,21,22,7,2,Baik
6,38,22,22,5,2,Baik
6,38,21,21,4,2,Baik
8,50,26,23,2,2,Baik
8,49,39,30,1,2,Baik
9,54,23,24,3,2,Sedang
12,58,20,23,4,3,Sedang
12,58,15,21,7,2,Sedang
14,63,14,20,9,2,Sedang
16,69,17,22,7,3,Sedang
17,72,33,29,4,4,Sedang
13,61,24,23,3,3,Sedang
10,54,23,23,3,3,Sedang
10,54,17,21,5,2,Sedang
9,52,17,21,6,2,Sedang
18,37,13,15,13,5,Baik
15,65,28,28,3,3,Sedang
14,64,25,26,3,3,Sedang
9,49,26,25,3,3,Baik
15,63,26,25,2,3,Sedang
38,76,39,33,2,3,Sedang
